#{"t_start": 1625570587.59314, "env_id": null}
r,l,t
-780.401285,57,77.971632
-1047.314888,61,163.926958
-684.966279,39,238.363068
-253.513178,24,314.566025
-431.619415,33,399.164396
-360.035592,26,492.793471
-177.196657,13,566.545633
-187.205424,24,643.162829
-166.704379,12,724.616759
-58.251811,12,814.77418
-129.942759,22,902.099068
-249.109574,13,988.92068
-638.077612,33,1078.119723
60.702245,12,1190.729974
-254.491391,23,1283.176473
76.975725,25,1363.111439
77.876706,19,1485.68108
-215.78855,23,1593.192234
-229.626717,25,1694.271114
-168.08126,24,1805.99088
-397.142056,25,1929.503989
-247.723256,21,2058.533506
-181.856904,17,2174.165676
-449.839795,33,2267.288214
-79.187498,14,2358.39013
-772.110436,52,2482.008478
-385.851493,40,2586.421934
-358.830121,17,2707.282019
-1615.896401,91,2820.508078
-168.419859,10,2909.571321
-609.031234,44,3007.182324
-89.413308,14,3101.181648
-271.452845,34,3188.208735
-120.980173,30,3279.467721
-300.24508,20,3368.139261
-273.296984,25,3458.016153
-149.843727,26,3543.095802
-362.51471,23,3626.33586
-229.266432,27,3707.240931
-211.989141,15,3797.066424
-425.889558,31,3886.49669
-411.4846,27,3972.569486
-652.348116,42,4054.843908
-125.410952,21,4141.425354
-234.783955,20,4225.98801
-221.730051,32,4304.297381
-225.025675,14,4387.605869
-177.902007,26,4471.779738
-214.99538,20,4553.874877
-130.58637,28,4633.100625
-261.624621,39,4743.959467
-284.619059,18,4823.778288
105.289062,24,4932.547571
28.678028,23,5028.960161
-237.096984,37,5145.370514
99.31257,17,5238.648846
42.91159,21,5319.356239
108.460828,18,5404.355779
25.636627,17,5482.725307
-616.794477,38,5572.72064
24.059142,18,5653.192558
-123.096078,15,5734.648602
188.031866,19,5824.130268
-82.05758,14,5915.211066
-409.659789,25,5991.836565
-57.8894,22,6083.242546
